Nombre,Género,Desarrollador,Clasificación ESRB
GTA V,Accion,Rockstar Games,M
Goat Simulator 3,Simulador,Coffee Stain North,T
Bully,Accion-Aventura,Rockstar,T
Tony Hawks Pro Skater 3,Deportes,Activision,T
Matt Hoffman's Pro BMX,Deportes,Activision,T
Resident Evil 4,Accion,Capcom,M
Spider Man: Miles Morales,Accion-Aventura,Insomniac Games,T
Outlast,Horror Survival,Red Barrels,M
Assassin's Creed II,Aventura,Ubisoft,M
Rayman Legends,Plataforma,Ubisoft,E
Tom Clancy's Rainbow Siege,Shooter,Ubisoft,M
